id,url,name,artist,album,explicit,popularity,duration_ms,key,mode,time_signature,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo
651c5waZuvaiYbTbVCN4wl,https://open.spotify.com/track/651c5waZuvaiYbTbVCN4wl,Ideologia,Cazuza,O Tempo Nao Pára - Cazuza Ao Vivo,False,0,251800,10,0,4,0.525,0.808,0.0601,0.0714,0,0.913,0.69,137.236
0poxIvI8mH3TZcGp4T7BWs,https://open.spotify.com/track/0poxIvI8mH3TZcGp4T7BWs,Let Your Heart Hold Fast,Fort Atlantic,Fort Atlantic,False,54,226880,5,1,4,0.471,0.462,0.0281,0.151,0.000251,0.153,0.469,134.007
3d9DChrdc6BOeFsbrZ3Is0,https://open.spotify.com/track/3d9DChrdc6BOeFsbrZ3Is0,Under the Bridge,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),False,80,264306,4,1,4,0.559,0.345,0.0459,0.0576,0.000105,0.141,0.458,84.581
3ZOEytgrvLwQaqXreDs2Jx,https://open.spotify.com/track/3ZOEytgrvLwQaqXreDs2Jx,Can't Stop,Red Hot Chili Peppers,By the Way (Deluxe Edition),False,79,269000,9,1,4,0.618,0.938,0.0456,0.0179,0,0.167,0.875,91.455
16i6f7yJWs1j67fxBjfc7z,https://open.spotify.com/track/16i6f7yJWs1j67fxBjfc7z,Sweet Child O' Mine,Taken By Trees,Sweet Child o’ Mine,False,59,302880,3,1,4,0.544,0.479,0.0279,0.747,0.31,0.0808,0.434,118.117
7FNIEfhhBlzsZFxCwI5Nwh,https://open.spotify.com/track/7FNIEfhhBlzsZFxCwI5Nwh,A Little Less Conversation - JXL Radio Edit Remix,Elvis Presley,Elvis 30 #1 Hits,False,58,213240,11,0,4,0.59,0.976,0.0488,0.000154,0.293,0.155,0.686,114.996
48UPSzbZjgc449aqz8bxox,https://open.spotify.com/track/48UPSzbZjgc449aqz8bxox,Californication,Red Hot Chili Peppers,Californication (Deluxe Edition),False,80,329733,9,0,4,0.592,0.767,0.027,0.0021,0.00165,0.127,0.328,96.483
5AkGpGUr4YuKPUzis6VsgE,https://open.spotify.com/track/5AkGpGUr4YuKPUzis6VsgE,Royal Highness,Tom Grennan,Royal Highness,False,0,193921,2,0,4,0.621,0.873,0.0443,0.105,0,0.127,0.965,140.025
6UR32Q3nSezIWLcYOv1bqf,https://open.spotify.com/track/6UR32Q3nSezIWLcYOv1bqf,Henrietta,The Fratellis,Costello Music (Non EU Version),False,0,212493,6,0,4,0.608,0.952,0.0847,0.0175,0,0.231,0.855,122.454
3ly2k3a5KQvyOUtbeA7rkD,https://open.spotify.com/track/3ly2k3a5KQvyOUtbeA7rkD,From Here,Adib Sin,From Here,False,0,206000,10,1,4,0.674,0.64,0.0278,0.725,0.0977,0.777,0.368,119.999
