url,name,artist,explicit,popularity,duration_ms,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo
https://open.spotify.com/track/062zhcWzYvj5c8kFRuqbRI,Amarela Paixão,Liniker e os Caramelows,False,41,241883,0.292,0.194,0.0278,0.876,0.063,0.232,0.341,80.025
https://open.spotify.com/track/2myQE9T8UAbl5u6Wg3UT2J,Intimidade,Liniker e os Caramelows,False,55,194882,0.459,0.0566,0.0462,0.965,2.67e-06,0.0742,0.316,110.86
https://open.spotify.com/track/6HE5bKXwlqXezRp0ublZHn,Ruiva,Natália Carreira,False,25,303077,0.631,0.31,0.0259,0.757,2.25e-05,0.0997,0.288,98.939
https://open.spotify.com/track/3mR3mLX0VEq6zSushpmPJu,Geminiana,Natália Carreira,False,28,253300,0.487,0.335,0.0329,0.759,5.51e-06,0.111,0.123,129.6
https://open.spotify.com/track/4COPnBGopMFKcP9qkgqVut,Campos,Natália Carreira,False,29,222461,0.709,0.41,0.0404,0.508,0.000872,0.586,0.0847,129.723
https://open.spotify.com/track/3XEtw7t4V5sfd2vtkp0ql7,Smooth Operator - Single Version,Sade,False,65,258693,0.734,0.581,0.032,0.24,0.000585,0.0298,0.962,119.337
https://open.spotify.com/track/1ko2lVN0vKGUl9zrU0qSlT,Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr.",False,65,237106,0.803,0.488,0.0803,0.576,0.0609,0.0763,0.624,95.771
https://open.spotify.com/track/2GsvXMAz16fKroAmaCxLfL,Você mentiu,Anitta,False,57,179268,0.809,0.328,0.0351,0.648,1.51e-05,0.107,0.304,82.01
https://open.spotify.com/track/3KgNRsopCyrO211RJnfLA0,Quiçá,Labaq,False,0,290840,0.483,0.115,0.0613,0.94,0.0273,0.113,0.102,175.682
https://open.spotify.com/track/1ZseaIKt19broBzze3F8hz,"Hello, Anxiety",Phum Viphurit,False,59,264761,0.84,0.495,0.0406,0.589,0.552,0.103,0.808,125.993
https://open.spotify.com/track/0v4AHLqKlUSBLPFvqtv4qr,"For Just One Day Let's Only Think About (Love) [From ""Steven Universe""]",Steven Universe,False,48,228727,0.534,0.459,0.0371,0.621,0,0.0715,0.34,120.683
https://open.spotify.com/track/0qQECnsBqoacXBhcvkP4ZW,Change Your Mind,Steven Universe,False,30,53454,0.487,0.0139,0.0433,0.985,1.15e-05,0.138,0.257,81.262
https://open.spotify.com/track/4qu0A9ZSjHVtJnDY9utp4M,Escapism,Steven Universe,False,25,121299,0.476,0.131,0.0476,0.959,0.0108,0.098,0.307,79.331
https://open.spotify.com/track/4wz8WXY76grLLntXDKEUqz,Familiar,Steven Universe,False,23,150545,0.609,0.237,0.0491,0.578,0,0.146,0.553,92.626
https://open.spotify.com/track/6xh9JILM2rzAtRynrTAAhe,"Sem Nome, Mas Com Endereço",Liniker e os Caramelows,False,50,269120,0.219,0.234,0.0328,0.899,0.000803,0.0769,0.144,78.991
https://open.spotify.com/track/6zR3jAXgWCs9wmW1r4XGyk,Make Me Cry,Pip Millett,True,57,162973,0.551,0.357,0.503,0.587,0.000167,0.123,0.494,184.479
https://open.spotify.com/track/0wXuerDYiBnERgIpbb3JBR,Redbone,Childish Gambino,True,80,326933,0.743,0.347,0.121,0.167,0.00951,0.103,0.572,160.143
https://open.spotify.com/track/6NblUCwJXYkQlQ6LhcmSlQ,Ooh Nah Nah (feat. Masego),SiR,True,63,240000,0.85,0.273,0.278,0.052,2.22e-06,0.104,0.572,116.894
https://open.spotify.com/track/64I9byMYBlS1ARsC3vtpgW,Ottolenghi,Loyle Carner,False,62,197600,0.776,0.593,0.252,0.327,0.00616,0.186,0.247,94.97
https://open.spotify.com/track/5dvpipXxOIH96gcGEKR1Iu,Ain't Nothing Changed,Loyle Carner,True,59,194426,0.753,0.663,0.176,0.505,0.0598,0.115,0.149,90.011
